state,abbr,DA,Wind,RT,,,
6/1/2019,,34.64,13,28.72,,,
6/2/2019,,32.53,16,34.94,,,
6/3/2019,,32.49,13,30.16,,,
6/4/2019,,31.81,11,21.30,,,
6/5/2019,,28.83,9,35.03,,,
6/6/2019,,36.00,6,28.14,,,
6/7/2019,,39.91,16,91.33,,,
6/8/2019,,41.96,25,25.69,,,
6/9/2019,,40.00,16,15.31,,,
6/10/2019,,25.01,14,22.78,,,
6/11/2019,,24.12,13,19.94,,,
6/12/2019,,29.00,23,25.87,,,
6/13/2019,,21.82,30,23.59,,,
6/14/2019,,22.40,27,19.35,,,
6/15/2019,,26.55,11,19.04,,,
6/16/2019,,28.00,12,18.97,,,
6/17/2019,,30.00,17,24.78,,,
6/18/2019,,27.58,12,26.05,,,
6/19/2019,,39.50,22,37.90,,,
6/20/2019,,38.40,26,21.53,,,
6/21/2019,,24.60,25,20.38,,,
6/22/2019,,21.79,25,20.51,,,
6/23/2019,,22.56,21,136.64,,,
6/24/2019,,26.27,19,18.00,,,
6/25/2019,,25.34,18,22.58,,,
6/26/2019,,22.75,18,20.23,,,
6/27/2019,,25.43,14,19.70,,,
6/28/2019,,32.50,12,20.78,,,
6/29/2019,,28.20,15,24.91,,,
6/30/2019,,25.39,24,19.90,,,
7/1/2019,,24.75,18,25.90,,,
7/2/2019,,25.00,22,37.93,,,
7/3/2019,,25.00,21,18.41,,,
7/4/2019,,24.66,20,18.45,,,
7/5/2019,,28.58,13,21.70,,,
7/6/2019,,32.96,14,33.29,,,
7/7/2019,,34.41,18,32.75,,,
7/8/2019,,37.00,19,23.25,,,
7/9/2019,,75.00,12,73.18,,,
7/10/2019,,65.00,6,76.84,,,
7/11/2019,,46.73,5,97.18,,,
7/12/2019,,44.84,6,34.75,,,
7/13/2019,,52.00,7,26.71,,,
7/14/2019,,45.00,14,24.69,,,
7/15/2019,,52.89,18,48.58,,,
7/16/2019,,34.00,24,37.33,,,
7/17/2019,,29.92,24,22.14,,,
7/18/2019,,28.00,23,24.94,,,
7/19/2019,,26.01,23,21.43,,,
7/20/2019,,24.13,17,21.06,,,
7/21/2019,,31.44,17,23.91,,,
7/22/2019,,41.00,9,23.35,,,
7/23/2019,,27.00,9,23.45,,,
7/24/2019,,28.72,17,26.01,,,
7/25/2019,,25.99,17,25.64,,,
7/26/2019,,27.63,17,30.80,,,
7/27/2019,,27.33,24,22.38,,,
7/28/2019,,25.87,15,22.63,,,
7/29/2019,,37.97,13,24.43,,,
7/30/2019,,44.00,15,156.06,,,
7/31/2019,,64.76,14,54.43,,,
8/1/2019,,59.67,15,30.52,,,
8/2/2019,,85.05,11,147.71,,,
8/3/2019,,35.00,9,24.73,,,
8/4/2019,,31.02,13,39.23,,,
8/5/2019,,59.00,13,310.84,,,
8/6/2019,,115.45,18,185.67,,,
8/7/2019,,209.21,17,31.45,,,
8/8/2019,,57.09,15,35.88,,,
8/9/2019,,83.09,17,177.75,,,
8/10/2019,,80.17,19,30.92,,,
8/11/2019,,104.06,18,24.38,,,
8/12/2019,,211.25,12,602.06,,,
8/13/2019,,600.00,9,1523.88,,,
8/14/2019,,318.71,13,165.37,,,
8/15/2019,,337.08,19,1743.34,,,
8/16/2019,,757.36,19,189.91,,,
8/17/2019,,107.42,23,21.03,,,
8/18/2019,,79.71,16,27.22,,,
8/19/2019,,272.18,13,37.98,,,
8/20/2019,,400.00,16,40.26,,,
8/21/2019,,573.53,14,49.16,,,
8/22/2019,,97.00,17,171.02,,,
8/23/2019,,51.72,14,33.02,,,
8/24/2019,,41.00,19,24.03,,,
8/25/2019,,52.45,25,23.34,,,
8/26/2019,,585.94,17,32.04,,,
8/27/2019,,59.30,11,17.46,,,
8/28/2019,,40.00,19,55.28,,,
8/29/2019,,55.22,16,45.11,,,
8/30/2019,,48.00,10,20.92,,,
8/31/2019,,48.00,10,20.88,,,
